"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"9589","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",127,0,1,0,50,2,14,1,1,196,2,3,201,222,0.255,0.905
"9590","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",128,0,3,0,50,5,4,1,0,191,0,6,197,225,0.262,0.876
"9591","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",89,0,1,1,84,2,13,0,1,191,1,3,195,221,0.44,0.882
"9592","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",111,0,2,1,65,7,11,0,1,198,2,5,205,229,0.328,0.895
"9593","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",98,0,0,2,68,10,5,0,1,184,1,11,196,224,0.37,0.875
"9594","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",126,0,0,0,59,1,10,0,2,198,1,5,204,232,0.298,0.879
"9595","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",98,0,0,1,69,3,13,0,0,184,1,8,193,216,0.375,0.894
"9596","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",98,0,0,1,62,4,15,0,0,180,2,3,185,220,0.344,0.841
"9597","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",102,0,1,1,83,4,7,1,0,199,1,4,204,227,0.417,0.899
"9598","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",121,1,0,0,45,6,9,0,0,182,1,7,190,219,0.247,0.868
"9599","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",126,0,0,1,51,7,4,0,1,190,2,5,197,227,0.268,0.868
"9600","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",119,0,0,0,58,4,17,0,1,199,0,5,204,221,0.291,0.923
"9601","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",102,1,0,0,67,1,9,1,1,182,1,8,191,217,0.368,0.88
"9602","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",124,0,0,0,56,5,10,0,2,197,0,2,199,227,0.284,0.877
"9603","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",115,0,0,1,56,5,3,0,0,180,1,5,186,228,0.311,0.816
"9604","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",121,0,0,1,63,2,9,0,1,197,1,5,203,223,0.32,0.91
"9605","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",121,0,0,1,54,2,7,0,2,187,1,11,199,219,0.289,0.909
"9606","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",128,1,0,1,56,4,15,0,4,209,1,6,216,232,0.268,0.931
"9607","Cochabamba","Cochabamba","Escuela Mixta Fiscal Temporal A",104,1,1,0,71,3,14,0,0,194,0,3,197,225,0.366,0.876
"9608","Cochabamba","Cochabamba","Colegio Marista",135,0,1,0,51,4,3,0,0,194,4,12,210,235,0.263,0.894
"9609","Cochabamba","Cochabamba","Colegio Marista",144,0,0,0,51,1,4,1,0,201,2,4,207,224,0.254,0.924
"9610","Cochabamba","Cochabamba","Colegio Marista",142,0,1,0,41,3,8,0,0,195,2,4,201,231,0.21,0.87
"9611","Cochabamba","Cochabamba","Colegio Marista",143,0,0,0,41,3,7,2,1,197,0,4,201,225,0.208,0.893
"9612","Cochabamba","Cochabamba","Colegio Marista",150,1,1,1,41,5,1,0,0,200,1,7,208,230,0.205,0.904
"9613","Cochabamba","Cochabamba","Colegio Marista",124,1,1,0,58,3,15,0,1,203,0,3,206,230,0.286,0.896
"9614","Cochabamba","Cochabamba","Colegio Marista",124,0,0,0,57,6,14,0,1,202,2,2,206,230,0.282,0.896
"9615","Cochabamba","Cochabamba","Colegio Marista",146,0,1,0,30,4,13,0,1,195,2,8,205,228,0.154,0.899
"9616","Cochabamba","Cochabamba","Colegio Marista",134,0,1,0,52,4,11,0,1,203,0,3,206,228,0.256,0.904
"9617","Cochabamba","Cochabamba","Colegio Marista",148,0,1,1,48,2,4,1,1,206,1,6,213,228,0.233,0.934
"9618","Cochabamba","Cochabamba","Colegio Marista",129,0,1,0,50,3,9,0,0,192,1,1,194,222,0.26,0.874
"9619","Cochabamba","Cochabamba","Colegio Marista",142,0,1,0,49,4,5,1,1,203,0,6,209,229,0.241,0.913
"9620","Cochabamba","Cochabamba","Colegio Marista",131,0,1,1,56,7,14,3,0,213,0,3,216,232,0.263,0.931
"9621","Cochabamba","Cochabamba","Colegio Marista",139,1,0,0,54,6,11,0,0,211,0,1,212,229,0.256,0.926
"9622","Cochabamba","Cochabamba","Colegio Marista",149,0,1,0,38,6,7,1,1,203,0,7,210,230,0.187,0.913
"9623","Cochabamba","Cochabamba","Colegio Marista",142,0,1,0,43,3,8,0,1,198,1,8,207,230,0.217,0.9
"9624","Cochabamba","Cochabamba","Colegio Marista",145,0,2,0,39,5,8,0,1,200,0,0,200,224,0.195,0.893
"9625","Cochabamba","Cochabamba","Colegio Marista",150,1,0,0,37,3,11,1,2,205,0,10,215,233,0.18,0.923
"9626","Cochabamba","Cochabamba","Colegio Marista",153,1,0,0,39,3,7,1,1,205,1,2,208,229,0.19,0.908
"9627","Cochabamba","Cochabamba","Colegio Marista",134,1,0,0,53,3,10,0,0,201,0,8,209,226,0.264,0.925
"9628","Cochabamba","Cochabamba","Colegio Marista",139,0,0,2,51,4,7,0,1,204,1,5,210,230,0.25,0.913
"9629","Cochabamba","Cochabamba","Colegio Marista",131,0,3,0,43,7,5,0,0,189,1,9,199,226,0.228,0.881
"9630","Cochabamba","Cochabamba","Colegio Marista",134,0,1,1,51,4,12,1,1,205,0,2,207,231,0.249,0.896
"9631","Cochabamba","Cochabamba","Colegio Marista",144,0,1,3,44,4,7,1,0,204,1,5,210,229,0.216,0.917
"9632","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",158,1,0,0,29,4,2,1,0,195,0,4,199,221,0.149,0.9
"9633","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",151,0,0,0,49,1,3,0,1,205,0,2,207,230,0.239,0.9
"9634","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",145,0,0,1,34,0,4,0,0,184,0,1,185,220,0.185,0.841
"9635","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",167,0,0,0,25,1,2,1,1,197,1,1,199,229,0.127,0.869
"9636","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",163,0,0,0,23,3,5,1,1,196,1,5,202,227,0.117,0.89
"9637","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",136,1,1,2,40,6,5,0,1,192,0,7,199,231,0.208,0.861
"9638","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",145,0,0,0,23,3,4,2,1,178,1,1,180,211,0.129,0.853
"9639","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",164,0,0,1,31,2,5,0,1,204,0,8,212,232,0.152,0.914
"9640","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",160,0,0,0,28,1,6,0,0,195,0,3,198,226,0.144,0.876
"9641","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",164,0,0,0,24,1,5,0,0,194,0,5,199,225,0.124,0.884
"9642","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",160,0,0,1,26,1,3,1,1,193,2,6,201,228,0.135,0.882
"9643","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",143,0,0,1,27,2,11,1,4,189,0,5,194,227,0.143,0.855
"9644","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",129,0,0,1,47,5,7,0,2,191,3,2,196,227,0.246,0.863
"9645","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",145,0,1,2,36,3,7,0,0,194,2,1,197,230,0.186,0.857
"9646","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",150,0,0,0,35,1,6,0,1,193,1,4,198,227,0.181,0.872
"9647","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",159,0,0,0,32,1,6,0,0,198,0,3,201,221,0.162,0.91
"9648","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",151,0,0,0,38,6,1,0,1,197,0,4,201,228,0.193,0.882
"9649","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",160,0,0,1,21,5,5,0,0,192,0,2,194,227,0.109,0.855
"9650","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",152,0,0,0,33,2,5,1,0,193,0,2,195,229,0.171,0.852
"9651","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",153,0,0,0,27,1,1,1,0,183,0,5,188,224,0.148,0.839
"9652","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",160,0,0,0,26,3,1,1,0,191,1,5,197,227,0.136,0.868
"9653","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",143,0,1,0,35,3,2,0,0,184,1,4,189,226,0.19,0.836
"9654","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",150,0,1,1,31,3,8,2,0,196,0,0,196,231,0.158,0.848
"9655","Cochabamba","Cochabamba","Liceo Elena Arze De Arze",158,0,0,1,28,4,9,0,0,200,0,3,203,225,0.14,0.902
"9656","Cochabamba","Cochabamba","Instituto Eduardo Laredo",155,2,0,0,26,2,4,2,0,191,0,1,192,222,0.136,0.865
"9657","Cochabamba","Cochabamba","Instituto Eduardo Laredo",148,0,0,0,29,2,5,0,0,184,0,3,187,213,0.158,0.878
"9658","Cochabamba","Cochabamba","Instituto Eduardo Laredo",148,0,1,0,25,4,3,0,0,181,3,4,188,224,0.138,0.839
"9659","Cochabamba","Cochabamba","Instituto Eduardo Laredo",142,0,1,0,31,5,3,1,0,183,1,9,193,225,0.169,0.858
"9660","Cochabamba","Cochabamba","Instituto Eduardo Laredo",147,0,0,0,26,4,6,0,0,183,0,6,189,220,0.142,0.859
"9661","Cochabamba","Cochabamba","Instituto Eduardo Laredo",126,0,1,0,37,4,8,2,0,178,1,5,184,223,0.208,0.825
"9662","Cochabamba","Cochabamba","Instituto Eduardo Laredo",151,1,0,0,29,1,1,0,0,183,2,2,187,227,0.158,0.824
"9663","Cochabamba","Cochabamba","Instituto Eduardo Laredo",152,1,0,1,27,2,6,0,0,189,0,4,193,215,0.143,0.898
"9664","Cochabamba","Cochabamba","Instituto Eduardo Laredo",141,1,0,1,30,4,4,0,0,181,2,1,184,221,0.166,0.833
"9665","Cochabamba","Cochabamba","Instituto Eduardo Laredo",149,0,0,0,31,9,5,1,0,195,0,3,198,229,0.159,0.865
"9666","Cochabamba","Cochabamba","Instituto Eduardo Laredo",127,0,0,0,37,2,3,1,0,170,2,8,180,222,0.218,0.811
"9667","Cochabamba","Cochabamba","Instituto Eduardo Laredo",147,0,0,4,31,4,3,0,0,189,1,3,193,222,0.164,0.869
"9668","Cochabamba","Cochabamba","Colegio La Salle",145,0,0,0,22,8,7,0,0,182,0,2,184,213,0.121,0.864
"9669","Cochabamba","Cochabamba","Colegio La Salle",145,0,0,0,24,4,4,0,0,177,0,1,178,217,0.136,0.82
"9670","Cochabamba","Cochabamba","Colegio La Salle",121,0,0,0,30,7,5,0,1,164,0,1,165,209,0.183,0.789
"9671","Cochabamba","Cochabamba","Colegio La Salle",135,0,0,0,27,1,4,0,0,167,2,5,174,202,0.162,0.861
"9672","Cochabamba","Cochabamba","Colegio La Salle",138,0,0,2,25,1,4,0,1,171,2,3,176,208,0.146,0.846
"9673","Cochabamba","Cochabamba","Colegio La Salle",126,0,1,2,32,2,5,0,0,168,0,1,169,212,0.19,0.797
"9674","Cochabamba","Cochabamba","Colegio La Salle",137,0,0,1,28,4,5,0,0,175,2,2,179,213,0.16,0.84
"9675","Cochabamba","Cochabamba","Colegio La Salle",132,0,1,1,28,3,2,0,0,167,1,1,169,197,0.168,0.858
"9676","Cochabamba","Cochabamba","Colegio La Salle",131,0,0,1,25,3,7,0,0,167,1,2,170,202,0.15,0.842
"9677","Cochabamba","Cochabamba","Colegio La Salle",140,0,0,1,21,4,0,1,0,167,0,6,173,207,0.126,0.836
"9678","Cochabamba","Cochabamba","Colegio La Salle",127,0,0,0,21,3,5,3,0,159,1,3,163,207,0.132,0.787
"9679","Cochabamba","Cochabamba","Colegio La Salle",144,0,0,0,29,4,3,2,0,182,0,3,185,213,0.159,0.869
"9680","Cochabamba","Cochabamba","Colegio La Salle",125,0,0,0,29,3,5,0,0,162,0,5,167,202,0.179,0.827
"9681","Cochabamba","Cochabamba","Colegio La Salle",146,0,0,0,17,0,3,0,0,166,0,4,170,207,0.102,0.821
"9682","Cochabamba","Cochabamba","Colegio La Salle",130,0,0,0,25,7,5,1,0,168,1,3,172,205,0.149,0.839
"9683","Cochabamba","Cochabamba","Colegio La Salle",150,1,0,0,19,2,0,1,2,175,0,3,178,218,0.109,0.817
"9684","Cochabamba","Cochabamba","Colegio La Salle",146,0,1,1,25,1,1,0,0,175,0,1,176,214,0.143,0.822
"9685","Cochabamba","Cochabamba","Colegio Boliviano Argentino",142,0,1,1,27,3,9,1,1,185,0,6,191,225,0.146,0.849
"9686","Cochabamba","Cochabamba","Colegio Boliviano Argentino",143,2,0,0,29,2,9,0,4,189,0,5,194,222,0.153,0.874
"9687","Cochabamba","Cochabamba","Colegio Boliviano Argentino",137,0,0,0,40,4,13,0,1,195,0,6,201,230,0.205,0.874
"9688","Cochabamba","Cochabamba","Colegio Boliviano Argentino",161,1,0,1,24,1,3,2,3,196,0,3,199,222,0.122,0.896
"9689","Cochabamba","Cochabamba","Colegio Boliviano Argentino",129,0,0,0,38,3,8,0,2,180,0,3,183,202,0.211,0.906
"9690","Cochabamba","Cochabamba","Unidad Educativa Daniel Salamanca (Ex Colegio Nal. Mixto 6 De Agosto)",145,1,1,0,37,3,2,1,0,190,0,3,193,224,0.195,0.862
"9691","Cochabamba","Cochabamba","Unidad Educativa Daniel Salamanca (Ex Colegio Nal. Mixto 6 De Agosto)",132,0,0,0,46,4,8,0,1,191,1,5,197,221,0.241,0.891
"9692","Cochabamba","Cochabamba","Unidad Educativa Daniel Salamanca (Ex Colegio Nal. Mixto 6 De Agosto)",148,0,0,0,31,3,2,0,1,185,1,4,190,216,0.168,0.88
"9693","Cochabamba","Cochabamba","U. E. 8 de Mayo",152,1,2,0,49,4,10,0,3,221,2,3,226,239,0.222,0.946
"9694","Cochabamba","Cochabamba","U. E. 8 de Mayo",157,0,0,1,35,1,5,1,0,200,1,6,207,214,0.175,0.967
"9695","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",139,0,0,0,42,2,6,0,1,190,0,6,196,227,0.221,0.863
"9696","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",144,0,0,0,24,2,7,0,0,177,0,9,186,218,0.136,0.853
"9697","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",143,0,0,0,30,3,6,0,1,183,2,4,189,223,0.164,0.848
"9698","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",144,0,0,1,34,4,4,1,1,189,2,3,194,222,0.18,0.874
"9699","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",154,0,0,0,36,1,3,2,1,197,0,0,197,225,0.183,0.876
"9700","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",135,1,0,0,32,8,3,1,0,180,1,5,186,220,0.178,0.845
"9701","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",142,0,0,0,34,2,5,0,2,185,0,6,191,223,0.184,0.857
"9702","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",150,1,0,0,21,2,9,2,1,186,3,3,192,220,0.113,0.873
"9703","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",154,0,1,0,21,4,7,0,1,188,0,4,192,220,0.112,0.873
"9704","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",150,2,0,0,28,0,3,2,0,185,2,5,192,220,0.151,0.873
"9705","Cochabamba","Cochabamba","Colegio Aleman Santa Maria",168,0,0,0,20,5,3,1,3,200,0,3,203,229,0.1,0.886
"9706","Cochabamba","Cochabamba","Escuela Wilge Rodriguez",136,0,1,1,43,3,7,1,0,192,0,6,198,222,0.224,0.892
"9707","Cochabamba","Cochabamba","Escuela Wilge Rodriguez",141,0,2,0,38,4,5,0,0,190,1,7,198,228,0.2,0.868
"9708","Cochabamba","Cochabamba","Escuela Wilge Rodriguez",135,0,0,0,54,3,8,1,0,201,1,4,206,228,0.269,0.904
"9709","Cochabamba","Cochabamba","Escuela Wilge Rodriguez",137,0,1,0,39,4,9,0,0,190,0,7,197,224,0.205,0.879
"9710","Cochabamba","Cochabamba","Escuela Wilge Rodriguez",132,1,1,1,35,2,7,0,0,179,1,7,187,220,0.196,0.85
"9711","Cochabamba","Cochabamba","Colegio Hispano Boliviano",123,0,0,1,49,3,7,0,2,185,2,7,194,229,0.265,0.847
"9712","Cochabamba","Cochabamba","Colegio Hispano Boliviano",131,2,0,1,34,6,10,2,0,186,1,2,189,219,0.183,0.863
"9713","Cochabamba","Cochabamba","Colegio Hispano Boliviano",116,1,1,2,52,3,10,0,2,187,0,4,191,220,0.278,0.868
"9714","Cochabamba","Cochabamba","Colegio Hispano Boliviano",126,1,1,2,51,3,7,1,1,193,1,6,200,229,0.264,0.873
"9715","Cochabamba","Cochabamba","Colegio Hispano Boliviano",119,1,3,0,47,1,8,0,0,179,0,8,187,222,0.263,0.842
"9716","Cochabamba","Cochabamba","Colegio Hispano Boliviano",129,0,1,0,48,1,8,0,2,189,1,6,196,222,0.254,0.883
"9717","Cochabamba","Cochabamba","Colegio Hispano Boliviano",130,2,0,0,39,4,9,1,1,186,1,6,193,224,0.21,0.862
"9718","Cochabamba","Cochabamba","Colegio Hispano Boliviano",116,0,0,0,58,6,11,1,1,193,0,1,194,224,0.301,0.866
"9719","Cochabamba","Cochabamba","Colegio Hispano Boliviano",152,0,0,1,39,4,9,0,1,206,0,1,207,231,0.189,0.896
"9720","Cochabamba","Cochabamba","Colegio Hispano Boliviano",129,0,0,0,45,3,8,0,1,186,0,3,189,222,0.242,0.851
"9721","Cochabamba","Cochabamba","Colegio Hispano Boliviano",125,0,1,1,41,3,17,0,2,190,1,6,197,224,0.216,0.879
"9722","Cochabamba","Cochabamba","Colegio Hispano Boliviano",139,0,0,1,41,3,7,0,1,192,0,4,196,231,0.214,0.848
"9723","Cochabamba","Cochabamba","Colegio Hispano Boliviano",129,1,0,0,43,3,9,2,0,187,0,4,191,226,0.23,0.845
"9724","Cochabamba","Cochabamba","Colegio Hispano Boliviano",119,0,0,1,50,7,7,0,2,186,2,5,193,227,0.269,0.85
"9725","Cochabamba","Cochabamba","Colegio Abaroa",131,2,1,0,33,0,5,0,0,172,0,3,175,209,0.192,0.837
"9726","Cochabamba","Cochabamba","Colegio Abaroa",131,0,0,0,33,1,8,0,0,173,0,3,176,214,0.191,0.822
"9727","Cochabamba","Cochabamba","Colegio Abaroa",134,0,1,1,37,2,12,0,2,189,0,6,195,228,0.196,0.855
"9728","Cochabamba","Cochabamba","Colegio Abaroa",131,3,0,0,48,3,5,1,0,191,2,3,196,222,0.251,0.883
"9729","Cochabamba","Cochabamba","Colegio Abaroa",132,0,1,0,39,1,3,0,0,176,0,6,182,217,0.222,0.839
"9730","Cochabamba","Cochabamba","Colegio Abaroa",130,1,1,0,32,7,9,0,1,181,3,6,190,219,0.177,0.868
"9731","Cochabamba","Cochabamba","Colegio Abaroa",116,1,1,1,39,4,9,1,1,173,2,5,180,216,0.225,0.833
"9732","Cochabamba","Cochabamba","Colegio Abaroa",127,1,0,0,43,7,7,0,4,189,0,1,190,223,0.228,0.852
"9733","Cochabamba","Cochabamba","Colegio Abaroa",132,0,0,0,44,3,7,0,0,186,0,3,189,226,0.237,0.836
"9734","Cochabamba","Cochabamba","Colegio Abaroa",133,1,0,2,38,6,9,2,1,192,0,5,197,221,0.198,0.891
"9735","Cochabamba","Cochabamba","Colegio Abaroa",108,1,0,0,46,5,9,0,2,171,2,6,179,215,0.269,0.833
"9736","Cochabamba","Cochabamba","Colegio Abaroa",124,0,0,0,36,2,6,2,2,172,0,7,179,222,0.209,0.806
"9737","Cochabamba","Cochabamba","Colegio Abaroa",135,1,0,0,32,3,8,1,1,181,1,4,186,218,0.177,0.853
"9738","Cochabamba","Cochabamba","Colegio Abaroa",133,0,0,0,34,4,7,0,1,179,1,1,181,213,0.19,0.85
"9739","Cochabamba","Cochabamba","Colegio Bolivar",133,0,0,0,43,3,9,1,1,190,2,4,196,224,0.226,0.875
"9740","Cochabamba","Cochabamba","Colegio Bolivar",111,0,0,2,39,3,22,1,0,178,2,2,182,226,0.219,0.805
"9741","Cochabamba","Cochabamba","Colegio Bolivar",112,1,0,0,61,2,13,0,1,190,2,4,196,228,0.321,0.86
"9742","Cochabamba","Cochabamba","Colegio Bolivar",117,0,1,1,50,3,11,0,0,183,1,2,186,219,0.273,0.849
"9743","Cochabamba","Cochabamba","Colegio Bolivar",115,0,2,0,58,4,8,1,0,188,2,2,192,222,0.309,0.865
"9744","Cochabamba","Cochabamba","Colegio Bolivar",115,1,0,0,52,5,13,1,2,189,1,5,195,227,0.275,0.859
"9745","Cochabamba","Cochabamba","Colegio Bolivar",142,1,2,2,28,3,10,1,1,190,3,1,194,223,0.147,0.87
"9746","Cochabamba","Cochabamba","Colegio Bolivar",122,0,0,0,36,2,20,2,1,183,1,7,191,227,0.197,0.841
"9747","Cochabamba","Cochabamba","Colegio Bolivar",125,0,0,1,38,3,6,0,2,175,0,2,177,204,0.217,0.868
"9748","Cochabamba","Cochabamba","(Cárcel) Penitenciaria San Sebastian  Varones",31,0,0,1,105,5,12,0,0,154,3,7,164,229,0.682,0.716
"9749","Cochabamba","Cochabamba","Centro Kanata",110,0,1,0,66,6,12,2,1,198,1,8,207,231,0.333,0.896
"9750","Cochabamba","Cochabamba","Centro Kanata",120,0,1,0,63,4,7,0,1,196,2,9,207,232,0.321,0.892
"9751","Cochabamba","Cochabamba","Centro Kanata",105,0,0,0,68,9,11,0,2,195,0,2,197,228,0.349,0.864
"9752","Cochabamba","Cochabamba","Centro Kanata",103,1,0,1,71,5,9,1,1,192,1,4,197,221,0.37,0.891
"9753","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",120,1,0,1,59,1,8,0,1,191,1,7,199,223,0.309,0.892
"9754","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",134,0,0,1,54,6,6,0,0,201,1,7,209,229,0.269,0.913
"9755","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",104,1,0,0,67,1,15,0,1,189,0,6,195,219,0.354,0.89
"9756","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",111,0,3,1,54,3,12,0,1,185,1,4,190,224,0.292,0.848
"9757","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",117,0,1,1,49,7,11,0,0,186,0,3,189,217,0.263,0.871
"9758","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",123,0,2,0,51,0,11,0,0,187,1,1,189,222,0.273,0.851
"9759","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",117,0,0,0,61,3,6,1,2,190,1,4,195,221,0.321,0.882
"9760","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",139,0,0,2,43,7,3,0,1,195,3,4,202,227,0.221,0.89
"9761","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",110,0,0,1,57,3,10,2,0,183,1,7,191,219,0.311,0.872
"9762","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",132,0,0,1,50,1,7,1,2,194,2,3,199,221,0.258,0.9
"9763","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",112,0,0,1,61,4,6,0,1,185,1,8,194,219,0.33,0.886
"9764","Cochabamba","Cochabamba","Colegio Yugoslavia ( Ex Mariscal Santa Cruz)",131,0,0,0,57,1,4,0,0,193,1,5,199,225,0.295,0.884
"9765","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",106,0,2,2,65,8,14,0,1,198,0,4,202,224,0.328,0.902
"9766","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",93,1,0,2,85,4,7,0,1,193,0,5,198,225,0.44,0.88
"9767","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",119,0,0,0,62,2,7,0,0,190,3,6,199,222,0.326,0.896
"9768","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",106,1,1,0,67,2,7,1,3,188,1,6,195,226,0.356,0.863
"9769","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",113,0,1,0,61,3,13,0,0,191,2,9,202,220,0.319,0.918
"9770","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",98,0,1,1,71,3,11,0,3,188,1,6,195,224,0.378,0.871
"9771","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",133,0,0,0,48,5,6,0,1,193,0,9,202,222,0.249,0.91
"9772","Cochabamba","Cochabamba","Unidad Educativa Estados Unidos",113,0,2,1,60,4,12,0,2,194,2,4,200,219,0.309,0.913
"9773","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",99,1,2,2,72,5,2,0,0,183,2,5,190,221,0.393,0.86
"9774","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",122,0,0,2,51,5,11,1,2,194,0,1,195,221,0.263,0.882
"9775","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",109,0,1,2,72,6,7,1,0,198,0,4,202,219,0.364,0.922
"9776","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",117,0,0,0,60,3,7,1,1,189,1,8,198,224,0.317,0.884
"9777","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",104,1,1,1,62,0,17,0,1,187,1,15,203,225,0.332,0.902
"9778","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",104,0,1,0,64,3,13,0,3,188,0,9,197,222,0.34,0.887
"9779","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",108,0,1,0,64,3,13,0,1,190,0,5,195,223,0.337,0.874
"9780","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",114,1,0,0,60,8,13,0,0,196,0,4,200,219,0.306,0.913
"9781","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",117,0,0,0,55,6,14,1,1,194,1,2,197,224,0.284,0.879
"9782","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",108,0,0,1,67,4,8,1,1,190,2,4,196,220,0.353,0.891
"9783","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",91,0,0,2,74,1,14,0,0,182,0,8,190,223,0.407,0.852
"9784","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",107,0,1,1,70,4,9,0,0,192,0,8,200,226,0.365,0.885
"9785","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",99,1,2,0,81,3,11,1,2,200,0,4,204,224,0.405,0.911
"9786","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",114,0,0,0,59,4,14,0,2,193,1,3,197,227,0.306,0.868
"9787","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",118,0,0,1,47,2,8,2,3,181,0,8,189,216,0.26,0.875
"9788","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",106,1,1,1,59,2,6,0,2,178,2,7,187,215,0.331,0.87
"9789","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",118,0,1,0,57,1,10,1,1,189,1,3,193,223,0.302,0.865
"9790","Cochabamba","Cochabamba","Colegio Sergio Almaraz Paz",102,0,0,1,77,5,13,0,0,198,5,7,210,225,0.389,0.933
