"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"420","Chuquisaca","Sucre","Esc. San Juanillo",136,0,0,0,50,4,11,0,0,201,2,9,212,231,0.249,0.918
"421","Chuquisaca","Sucre","Esc. San Juanillo",116,1,1,0,46,2,18,0,1,185,1,1,187,226,0.249,0.827
"422","Chuquisaca","Sucre","Esc. San Juanillo",131,0,0,1,44,1,13,0,2,192,1,4,197,228,0.229,0.864
"423","Chuquisaca","Sucre","Esc. San Juanillo",131,2,0,1,38,2,14,0,2,190,1,9,200,224,0.2,0.893
"424","Chuquisaca","Sucre","Esc. San Juanillo",124,1,1,1,37,4,17,1,4,190,0,3,193,225,0.195,0.858
"425","Chuquisaca","Sucre","Esc. San Juanillo",125,2,3,1,40,2,15,1,4,193,3,10,206,230,0.207,0.896
"426","Chuquisaca","Sucre","Esc. San Juanillo",129,0,0,0,40,4,11,0,2,186,7,7,200,227,0.215,0.881
"427","Chuquisaca","Sucre","Esc. San Juanillo",126,1,2,1,52,2,10,2,0,196,3,6,205,227,0.265,0.903
"428","Chuquisaca","Sucre","Esc. San Juanillo",121,0,0,1,40,3,24,2,2,193,3,7,203,233,0.207,0.871
"429","Chuquisaca","Sucre","Esc. San Juanillo",138,1,0,1,47,2,11,2,3,205,0,0,205,229,0.229,0.895
"430","Chuquisaca","Sucre","Seminario Teologico Del Sur",133,1,2,0,48,1,15,0,0,200,1,7,208,229,0.24,0.908
"431","Chuquisaca","Sucre","Seminario Teologico Del Sur",130,1,0,2,33,5,19,0,0,190,1,5,196,222,0.174,0.883
"432","Chuquisaca","Sucre","Seminario Teologico Del Sur",104,2,2,0,46,7,31,0,3,195,4,9,208,229,0.236,0.908
"433","Chuquisaca","Sucre","Seminario Teologico Del Sur",114,2,1,2,53,2,22,0,3,199,2,7,208,231,0.266,0.9
"434","Chuquisaca","Sucre","Seminario Teologico Del Sur",130,0,1,1,40,1,27,1,0,201,5,3,209,233,0.199,0.897
"435","Chuquisaca","Sucre","Seminario Teologico Del Sur",131,1,1,0,42,5,18,0,1,199,3,8,210,229,0.211,0.917
"436","Chuquisaca","Sucre","Seminario Teologico Del Sur",116,2,0,1,52,3,22,1,5,202,2,8,212,231,0.257,0.918
"437","Chuquisaca","Sucre","Seminario Teologico Del Sur",134,1,1,1,42,5,18,0,6,208,1,8,217,230,0.202,0.943
"438","Chuquisaca","Sucre","Seminario Teologico Del Sur",138,0,2,0,37,2,23,1,4,207,4,8,219,234,0.179,0.936
"439","Chuquisaca","Sucre","Seminario Teologico Del Sur",121,2,0,2,42,0,19,1,3,190,1,6,197,229,0.221,0.86
"440","Chuquisaca","Sucre","Seminario Teologico Del Sur",120,0,1,0,35,1,25,0,5,187,3,11,201,227,0.187,0.885
"441","Chuquisaca","Sucre","Seminario Teologico Del Sur",127,0,0,0,46,4,9,0,0,186,4,8,198,223,0.247,0.888
"442","Chuquisaca","Sucre","Seminario Teologico Del Sur",142,0,1,2,36,2,19,0,0,202,2,10,214,232,0.178,0.922
"443","Chuquisaca","Sucre","Campo Deportivo San Juanillo Bajo",130,1,0,1,57,3,27,1,1,221,2,6,229,237,0.258,0.966
"444","Chuquisaca","Sucre","Campo Deportivo San Juanillo Bajo",138,0,0,1,43,4,23,0,4,213,0,6,219,239,0.202,0.916
"445","Chuquisaca","Sucre","Campo Deportivo San Juanillo Bajo",124,0,0,0,54,4,39,0,1,222,0,6,228,240,0.243,0.95
