"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"72","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",0.858,0.124,"Clean"
"73","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",0.889,0.152,"Clean"
"74","Chuquisaca","Sucre","Coliseo Jorge Revilla Aldana",0.872,0.181,"Clean"
"75","Chuquisaca","Sucre","Colegio Junin",0.885,0.128,"Clean"
"76","Chuquisaca","Sucre","Colegio Junin",0.836,0.181,"Clean"
"77","Chuquisaca","Sucre","Colegio Junin",0.858,0.135,"Clean"
"78","Chuquisaca","Sucre","Colegio Junin",0.831,0.084,"Clean"
"79","Chuquisaca","Sucre","Colegio Junin",0.908,0.169,"Clean"
"80","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",0.893,0.074,"Clean"
"81","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",0.867,0.061,"Clean"
"82","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",0.863,0.144,"Clean"
"83","Chuquisaca","Sucre","Col. Mariano Serrano",0.911,0.186,"Clean"
"84","Chuquisaca","Sucre","Col. Mariano Serrano",0.913,0.184,"Clean"
"85","Chuquisaca","Sucre","Col. Mariano Serrano",0.897,0.114,"Clean"
"86","Chuquisaca","Sucre","Col. Mariano Serrano",0.889,0.168,"Clean"
"87","Chuquisaca","Sucre","Col. Mariano Serrano",0.888,0.141,"Clean"
"88","Chuquisaca","Sucre","Col. Mariano Serrano",0.881,0.173,"Clean"
"89","Chuquisaca","Sucre","Col. Mariano Serrano",0.891,0.148,"Clean"
"90","Chuquisaca","Sucre","Col. Mariano Serrano",0.886,0.137,"Clean"
"91","Chuquisaca","Sucre","Col. Mariano Serrano",0.901,0.193,"Clean"
"92","Chuquisaca","Sucre","Col. Mariano Serrano",0.897,0.139,"Clean"
"93","Chuquisaca","Sucre","Col. Mariano Serrano",0.893,0.139,"Clean"
"94","Chuquisaca","Sucre","Col. Mariano Serrano",0.896,0.16,"Clean"
"95","Chuquisaca","Sucre","Col. Mariano Serrano",0.898,0.169,"Clean"
"96","Chuquisaca","Sucre","Col. Mariano Serrano",0.898,0.128,"Clean"
"97","Chuquisaca","Sucre","Col. Mariano Serrano",0.912,0.126,"Clean"
"98","Chuquisaca","Sucre","Col. Mariano Serrano",0.868,0.165,"Clean"
"99","Chuquisaca","Sucre","Col. Mariano Serrano",0.855,0.168,"Clean"
"100","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.934,0.191,"Clean"
"101","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.866,0.191,"Clean"
"102","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.926,0.156,"Clean"
"103","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.882,0.205,"Clean"
"104","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.878,0.183,"Clean"
"105","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.914,0.197,"Clean"
"106","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.92,0.189,"Clean"
"107","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.901,0.197,"Clean"
"108","Chuquisaca","Sucre","Jardín De Niños San Lázaro",0.885,0.202,"Clean"
"109","Chuquisaca","Sucre","Kinder Serrano",0.86,0.188,"Clean"
"110","Chuquisaca","Sucre","Kinder Serrano",0.887,0.196,"Clean"
"111","Chuquisaca","Sucre","Kinder Serrano",0.892,0.178,"Clean"
"112","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.894,0.08,"Clean"
"113","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.888,0.099,"Clean"
"114","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.871,0.154,"Clean"
"115","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.925,0.12,"Clean"
"116","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.871,0.109,"Clean"
"117","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.884,0.108,"Clean"
"118","Chuquisaca","Sucre","Colegio Simón Rodríguez",0.884,0.123,"Clean"
"119","Chuquisaca","Sucre","Estación De Bomberos",0.9,0.167,"Clean"
"120","Chuquisaca","Sucre","Estación De Bomberos",0.899,0.199,"Clean"
"121","Chuquisaca","Sucre","Estación De Bomberos",0.823,0.187,"Clean"
"122","Chuquisaca","Sucre","Estación De Bomberos",0.905,0.109,"Clean"
"123","Chuquisaca","Sucre","Estación De Bomberos",0.865,0.163,"Clean"
"124","Chuquisaca","Sucre","Estación De Bomberos",0.891,0.186,"Clean"
"125","Chuquisaca","Sucre","Estación De Bomberos",0.874,0.186,"Clean"
"126","Chuquisaca","Sucre","Estación De Bomberos",0.895,0.133,"Clean"
"127","Chuquisaca","Sucre","Estación De Bomberos",0.886,0.155,"Clean"
"128","Chuquisaca","Sucre","Estación De Bomberos",0.914,0.205,"Clean"
"129","Chuquisaca","Sucre","Kinder Echeverria",0.872,0.094,"Clean"
"130","Chuquisaca","Sucre","Kinder Echeverria",0.886,0.105,"Clean"
"131","Chuquisaca","Sucre","Kinder Echeverria",0.893,0.163,"Clean"
"132","Chuquisaca","Sucre","Kinder Echeverria",0.867,0.144,"Clean"
"133","Chuquisaca","Sucre","Kinder Echeverria",0.902,0.089,"Clean"
"134","Chuquisaca","Sucre","Esc. Josefina Goytia",0.906,0.149,"Clean"
"135","Chuquisaca","Sucre","Esc. Josefina Goytia",0.909,0.224,"Clean"
"136","Chuquisaca","Sucre","Esc. Josefina Goytia",0.857,0.251,"Clean"
"137","Chuquisaca","Sucre","Esc. Josefina Goytia",0.923,0.147,"Clean"
"138","Chuquisaca","Sucre","Esc. Josefina Goytia",0.856,0.216,"Clean"
"139","Chuquisaca","Sucre","Esc. Josefina Goytia",0.9,0.209,"Clean"
"140","Chuquisaca","Sucre","Esc. Josefina Goytia",0.917,0.175,"Clean"
"141","Chuquisaca","Sucre","Esc. Josefina Goytia",0.921,0.191,"Clean"
"142","Chuquisaca","Sucre","Col. Cardenal Maurer",0.878,0.204,"Clean"
"143","Chuquisaca","Sucre","Col. Cardenal Maurer",0.889,0.152,"Clean"
"144","Chuquisaca","Sucre","Col. Cardenal Maurer",0.89,0.127,"Clean"
"145","Chuquisaca","Sucre","Col. Cardenal Maurer",0.847,0.103,"Clean"
"146","Chuquisaca","Sucre","Col. Cardenal Maurer",0.857,0.188,"Clean"
"147","Chuquisaca","Sucre","Col. Cardenal Maurer",0.881,0.209,"Clean"
"148","Chuquisaca","Sucre","Col. Cardenal Maurer",0.874,0.129,"Clean"
"149","Chuquisaca","Sucre","Col. Cardenal Maurer",0.931,0.172,"Clean"
"150","Chuquisaca","Sucre","Col. Cardenal Maurer",0.874,0.234,"Clean"
"151","Chuquisaca","Sucre","Col. Cardenal Maurer",0.891,0.13,"Clean"
"152","Chuquisaca","Sucre","Salon Multifuncional America",0.893,0.323,"Clean"
"153","Chuquisaca","Sucre","Salon Multifuncional America",0.898,0.316,"Clean"
"154","Chuquisaca","Sucre","Salon Multifuncional America",0.875,0.217,"Clean"
"155","Chuquisaca","Sucre","Salon Multifuncional America",0.879,0.267,"Clean"
"156","Chuquisaca","Sucre","Salon Multifuncional America",0.862,0.356,"Clean"
"157","Chuquisaca","Sucre","Salon Multifuncional America",0.9,0.267,"Clean"
"158","Chuquisaca","Sucre","Salon Multifuncional America",0.86,0.196,"Clean"
"159","Chuquisaca","Sucre","(Cárcel) Cárcel Pública",0.786,0.494,"Clean"
"160","Chuquisaca","Sucre","Esc. Aniceto Arce",0.903,0.342,"Clean"
"161","Chuquisaca","Sucre","Esc. Aniceto Arce",0.858,0.261,"Clean"
"162","Chuquisaca","Sucre","Esc. Aniceto Arce",0.903,0.328,"Clean"
"163","Chuquisaca","Sucre","Esc. Aniceto Arce",0.882,0.321,"Clean"
"164","Chuquisaca","Sucre","Esc. Aniceto Arce",0.867,0.308,"Clean"
"165","Chuquisaca","Sucre","Esc. Aniceto Arce",0.823,0.335,"Clean"
"166","Chuquisaca","Sucre","Esc. Aniceto Arce",0.87,0.311,"Clean"
"167","Chuquisaca","Sucre","Esc. Aniceto Arce",0.922,0.311,"Clean"
"168","Chuquisaca","Sucre","Esc. Aniceto Arce",0.868,0.33,"Clean"
"169","Chuquisaca","Sucre","Esc. Aniceto Arce",0.888,0.25,"Clean"
"170","Chuquisaca","Sucre","Esc. Aniceto Arce",0.841,0.324,"Clean"
"171","Chuquisaca","Sucre","Esc. Aniceto Arce",0.818,0.382,"Clean"
"172","Chuquisaca","Sucre","Esc. Aniceto Arce",0.866,0.337,"Clean"
"173","Chuquisaca","Sucre","Esc. Aniceto Arce",0.875,0.337,"Clean"
"174","Chuquisaca","Sucre","Esc. Aniceto Arce",0.833,0.26,"Clean"
"175","Chuquisaca","Sucre","Esc. Aniceto Arce",0.873,0.281,"Clean"
"176","Chuquisaca","Sucre","Esc. Aniceto Arce",0.867,0.358,"Clean"
"177","Chuquisaca","Sucre","Esc. Aniceto Arce",0.906,0.333,"Clean"
"178","Chuquisaca","Sucre","Esc. Aniceto Arce",0.832,0.259,"Clean"
"179","Chuquisaca","Sucre","Esc. Aniceto Arce",0.878,0.277,"Clean"
"180","Chuquisaca","Sucre","Esc. Aniceto Arce",0.915,0.194,"Clean"
"181","Chuquisaca","Sucre","Esc. Aniceto Arce",0.855,0.292,"Clean"
"182","Chuquisaca","Sucre","Esc. Aniceto Arce",0.817,0.285,"Clean"
