Department,Clean,At_Risk,BBS_Risk,VS_Risk,Avg_Turnout,Avg_MAS_vote
Cochabamba,78.08,21.92,11.17,10.74,90.28,0.57
Santa Cruz,82.7,17.3,15.33,1.97,88.83,0.34
La Paz,83.47,16.53,12.86,3.67,91.75,0.53
Potosí,86.06,13.94,7.15,6.78,88.87,0.46
Oruro,88.15,11.85,9.64,2.21,91.09,0.47
Beni,89.84,10.16,7.46,2.7,86.17,0.34
Chuquisaca,91.3,8.7,5.76,2.95,88.41,0.4
Tarija,92.11,7.89,4.97,2.92,87.26,0.39
Pando,95.42,4.58,3.05,1.53,84.31,0.43
