Department,Clean,At_Risk,BBS_Risk,VS_Risk,Avg_Turnout,Avg_MAS_vote
Cochabamba,77.41,22.59,11.32,11.28,90.28,0.57
La Paz,83.91,16.09,12.88,3.21,91.75,0.53
Oruro,86.68,13.32,11.18,2.13,91.09,0.47
Potosí,86.8,13.2,6.72,6.48,88.87,0.46
Santa Cruz,90.54,9.46,7.53,1.93,88.83,0.34
Chuquisaca,91.5,8.5,5.62,2.88,88.41,0.4
Tarija,94.36,5.64,2.85,2.79,87.26,0.39
Beni,94.78,5.22,2.89,2.33,86.17,0.34
Pando,95.42,4.58,3.05,1.53,84.31,0.43
