Department,Clean,At_Risk,BBS_Risk,VS_Risk,Avg_Turnout,Avg_MAS_vote
Cochabamba,79.08,20.92,12.15,8.77,90.28,0.57
Potosí,83.31,16.69,10.21,6.48,88.87,0.46
Santa Cruz,85.98,14.02,11.7,2.31,88.83,0.34
La Paz,88.76,11.24,7.38,3.86,91.75,0.53
Oruro,89.18,10.82,8.54,2.28,91.09,0.47
Beni,90.21,9.79,6.9,2.89,86.17,0.34
Chuquisaca,90.75,9.25,5.96,3.29,88.41,0.4
Tarija,93.17,6.83,3.85,2.98,87.26,0.39
Pando,94.27,5.73,4.2,1.53,84.31,0.43
