Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Turnout,MAS.vote,Pred_Fraud_num,Pred_Fraud_type,Department,Precinct,Municipality
0,1,0,0,0,0,0,0,0,0.874,0.206,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.838,0.188,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.866,0.133,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.18,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.875,0.184,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.873,0.183,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.898,0.185,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.886,0.201,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.146,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.845,0.112,0,Clean,Chuquisaca,Facultad de Tecnología,Sucre
0,1,0,0,0,0,0,0,0,0.885,0.203,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.88,0.124,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.895,0.155,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.825,0.14,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.854,0.11,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.874,0.213,0,Clean,Chuquisaca,Col. Bernardo Monteagudo,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.152,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.926,0.156,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.918,0.185,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.124,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.889,0.152,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.872,0.181,0,Clean,Chuquisaca,Coliseo Jorge Revilla Aldana,Sucre
0,1,0,0,0,0,0,0,0,0.885,0.128,0,Clean,Chuquisaca,Colegio Junin,Sucre
0,1,0,0,0,0,0,0,0,0.836,0.181,0,Clean,Chuquisaca,Colegio Junin,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.135,0,Clean,Chuquisaca,Colegio Junin,Sucre
0,1,0,0,0,0,0,0,0,0.831,0.084,0,Clean,Chuquisaca,Colegio Junin,Sucre
0,1,0,0,0,0,0,0,0,0.908,0.169,0,Clean,Chuquisaca,Colegio Junin,Sucre
0,1,0,0,0,0,0,0,0,0.893,0.074,0,Clean,Chuquisaca,Esc. Mariscal De Ayacucho,Sucre
0,1,0,0,0,0,0,0,0,0.867,0.061,0,Clean,Chuquisaca,Esc. Mariscal De Ayacucho,Sucre
0,1,0,0,0,0,0,0,0,0.863,0.144,0,Clean,Chuquisaca,Esc. Mariscal De Ayacucho,Sucre
0,1,0,0,0,0,0,0,0,0.911,0.186,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.913,0.184,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.897,0.114,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.889,0.168,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.888,0.141,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.881,0.173,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.891,0.148,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.886,0.137,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.901,0.193,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.897,0.139,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.893,0.139,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.896,0.16,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.898,0.169,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.898,0.128,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.912,0.126,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.868,0.165,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.855,0.168,0,Clean,Chuquisaca,Col. Mariano Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.934,0.191,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.866,0.191,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.926,0.156,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.882,0.205,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.878,0.183,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.914,0.197,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.92,0.189,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.901,0.197,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.885,0.202,0,Clean,Chuquisaca,Jardín De Niños San Lázaro,Sucre
0,1,0,0,0,0,0,0,0,0.86,0.188,0,Clean,Chuquisaca,Kinder Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.887,0.196,0,Clean,Chuquisaca,Kinder Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.892,0.178,0,Clean,Chuquisaca,Kinder Serrano,Sucre
0,1,0,0,0,0,0,0,0,0.894,0.08,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.888,0.099,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.871,0.154,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.925,0.12,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.871,0.109,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.884,0.108,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.884,0.123,0,Clean,Chuquisaca,Colegio Simón Rodríguez,Sucre
0,1,0,0,0,0,0,0,0,0.9,0.167,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.899,0.199,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.823,0.187,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.905,0.109,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.865,0.163,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.891,0.186,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.874,0.186,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.895,0.133,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.886,0.155,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.914,0.205,0,Clean,Chuquisaca,Estación De Bomberos,Sucre
0,1,0,0,0,0,0,0,0,0.872,0.094,0,Clean,Chuquisaca,Kinder Echeverria,Sucre
0,1,0,0,0,0,0,0,0,0.886,0.105,0,Clean,Chuquisaca,Kinder Echeverria,Sucre
0,1,0,0,0,0,0,0,0,0.893,0.163,0,Clean,Chuquisaca,Kinder Echeverria,Sucre
0,1,0,0,0,0,0,0,0,0.867,0.144,0,Clean,Chuquisaca,Kinder Echeverria,Sucre
0,1,0,0,0,0,0,0,0,0.902,0.089,0,Clean,Chuquisaca,Kinder Echeverria,Sucre
0,1,0,0,0,0,0,0,0,0.906,0.149,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.909,0.224,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
